NAME,LINK,SUBMISSIONS,ACCURACY
"
Not a Triangle
",https://www.codechef.com//problems/NOTATRI,3220,25.78
"
Recipe Reconstruction
",https://www.codechef.com//problems/RRECIPE,3181,33.33
"
Maximum Candies
",https://www.codechef.com//problems/CHECHOC,3147,21.45
"
Chef in Heaven 
",https://www.codechef.com//problems/CCHEAVEN,3134,56.26
"
Chef and Kingship
",https://www.codechef.com//problems/KINGSHIP,3124,51.27
"
AND Plus OR
",https://www.codechef.com//problems/ANDOR,3098,59.45
"
Sherlock and the Grid
",https://www.codechef.com//problems/GRID,3091,37.19
"
Broken Telephone
",https://www.codechef.com//problems/BROKPHON,2970,56.74
"
Longest Common Pattern
",https://www.codechef.com//problems/LCPESY,2922,37.54
"
Row and Column Operations
",https://www.codechef.com//problems/ROWCOLOP,2902,37.17
"
Distinct Characters Subsequence
",https://www.codechef.com//problems/DISCHAR,2855,59.04
"
Chef and Frogs
",https://www.codechef.com//problems/FROGV,2850,25.53
"
Paying up
",https://www.codechef.com//problems/A1,2822,49.04
"
Weird Walk
",https://www.codechef.com//problems/WWALK,2724,43.58
"
Self-Destructing Strings
",https://www.codechef.com//problems/SDSTRING,2692,40.72
"
Approximately
",https://www.codechef.com//problems/APPROX,2681,52.61
"
Chef and Ground
",https://www.codechef.com//problems/CHEFGR,2651,34.86
"
The Army
",https://www.codechef.com//problems/ANUARM,2599,42.54
"
Johnny and the Beanstalk
",https://www.codechef.com//problems/MARCHA2,2587,28.2
"
Three Different Numbers
",https://www.codechef.com//problems/THREEDIF,2578,32.63
"
XOR with Subset
",https://www.codechef.com//problems/XORSUB,2560,29.38
"
Prime Tuples
",https://www.codechef.com//problems/PTUPLES,2517,26.89
"
Little Chef and Numbers
",https://www.codechef.com//problems/PROSUM,2497,23.9
"
Chef and the stones
",https://www.codechef.com//problems/CHEFST,2496,27.55
"
Another Birthday Present!
",https://www.codechef.com//problems/SHUFFLE,2487,30.43
"
Coprime Range
",https://www.codechef.com//problems/COPRIMEX,2471,55.68
"
Good Prefix
",https://www.codechef.com//problems/PRFXGD,2423,48.34
"
One Zero Swaps
",https://www.codechef.com//problems/SWAP10HG,2420,27.54
"
Pizza Delivery
",https://www.codechef.com//problems/DBOY,2378,29.89
"
Bench Press
",https://www.codechef.com//problems/BENCHP,2345,37.14
"
K-Concatenation
",https://www.codechef.com//problems/KCON,2337,15.4
"
The Way to a Friends House Is Never Too Long
",https://www.codechef.com//problems/POINTS,2312,27.37
"
Little Elephant and Divisors
",https://www.codechef.com//problems/LEDIV,2286,20.22
"
The Morning Commute
",https://www.codechef.com//problems/COMMUTE,2250,53.28
"
OR-thodox Distinction
",https://www.codechef.com//problems/ORTHODOX,2248,32.97
"
Max Mex
",https://www.codechef.com//problems/MAXMEX,2241,29.36
"
Chef and Apple Trees
",https://www.codechef.com//problems/CAPPLE,2235,59.04
"
Puppy and game
",https://www.codechef.com//problems/PUPPYGM,2219,53.19
"
Chef and Digit Jumps
",https://www.codechef.com//problems/DIGJUMP,2205,20.25
"
Palpal Strings
",https://www.codechef.com//problems/PALPALS,2190,38.04
"
Hiring Test
",https://www.codechef.com//problems/HIRETEST,2189,61.55
"
Thief and Police
",https://www.codechef.com//problems/TANDP,2180,44.61
"
Matrix Decomposition
",https://www.codechef.com//problems/MATBREAK,2167,28.95
"
Decreasing Srrnmieeda
",https://www.codechef.com//problems/DECREM,2166,51.72
"
Chef Restaurant 
",https://www.codechef.com//problems/CHEFRES,2159,31.62
"
Reversing directions
",https://www.codechef.com//problems/DIRECTI,2140,53.21
"
Flip the String
",https://www.codechef.com//problems/FLIP,2131,55.08
"
Polygon Relationship
",https://www.codechef.com//problems/POLYREL,2095,64.22
"
Dessert Wizard
",https://www.codechef.com//problems/DELISH,2084,31.04
"
Spoon in Matrix
",https://www.codechef.com//problems/SPOON,2080,44.28
"
Minimum Distance
",https://www.codechef.com//problems/CIELDIST,2046,36.81
"
Three Letters
",https://www.codechef.com//problems/THREE,2046,36.94
"
Modular GCD
",https://www.codechef.com//problems/GCDMOD,2039,15.89
"
Many Chefs
",https://www.codechef.com//problems/MANYCHEF,2036,38.97
"
Name Reduction
",https://www.codechef.com//problems/NAME1,2036,42.04
"
Charges
",https://www.codechef.com//problems/CHARGES,2032,32.65
"
Chef and the XORed Number 
",https://www.codechef.com//problems/XORNUBER,2012,35.5
"
Box of Chocolates
",https://www.codechef.com//problems/CHCBOX,2006,29.99
"
A Simple Equation
",https://www.codechef.com//problems/EQUATION,1940,26.87
"
Exam Cheating
",https://www.codechef.com//problems/EXAMCHT,1937,31.01
"
Chef and Coins Game
",https://www.codechef.com//problems/CHCOINSG,1919,48.74
"
GCD operations
",https://www.codechef.com//problems/GCDOPS,1916,55.54
"
Bob and His Friends
",https://www.codechef.com//problems/BFRIEND,1898,46.68
"
From Rational to Binary
",https://www.codechef.com//problems/REALBIN,1895,25.36
"
The Tom and Jerry Game!
",https://www.codechef.com//problems/EOEO,1882,32.51
"
Total Components
",https://www.codechef.com//problems/NUMCOMP1,1872,26.91
"
Count K-Primes
",https://www.codechef.com//problems/KPRIME,1865,28.9
"
Chef and Subset
",https://www.codechef.com//problems/CHEFSETC,1863,51.94
"
Dish Owner
",https://www.codechef.com//problems/DISHOWN,1862,21.4
"
Correctness of Knight Move
",https://www.codechef.com//problems/KNIGHTMV,1858,24.51
"
Unpleasant Ones
",https://www.codechef.com//problems/UNONE,1856,56.68
"
Lack of Logic
",https://www.codechef.com//problems/NOLOGIC,1852,37.3
"
Binary Subsequence
",https://www.codechef.com//problems/BINSUBS,1817,61.01
"
Hussain Set
",https://www.codechef.com//problems/COOK82C,1815,19.65
"
Average Sorting
",https://www.codechef.com//problems/AVGSORT,1813,50.77
"
Mix the Colors
",https://www.codechef.com//problems/MIXCOLOR,1789,52.36
"
Phone Prices
",https://www.codechef.com//problems/S10E,1786,30.13
"
Game on a Strip
",https://www.codechef.com//problems/ARRGAME,1777,23.79
"
Chef and Chain
",https://www.codechef.com//problems/CHEFCH,1775,41.4
"
Code
",https://www.codechef.com//problems/RRCODE,1767,23.4
"
N different palindromes
",https://www.codechef.com//problems/NDIFFPAL,1739,63.55
"
Make a Permutation
",https://www.codechef.com//problems/MAKPERM,1727,45.17
"
Increasing Decreasing
",https://www.codechef.com//problems/INCRDEC,1707,41.14
"
Stacks
",https://www.codechef.com//problems/STACKS,1700,42.46
"
Daily Train
",https://www.codechef.com//problems/DAILY,1695,56.66
"
Mysterious Sequence
",https://www.codechef.com//problems/MYSARA,1695,27.96
"
Dinner by Candlelight
",https://www.codechef.com//problems/DATE1,1669,34.27
"
Tojo hates probabilities
",https://www.codechef.com//problems/ANUTHM,1636,55.99
"
Helping Lira
",https://www.codechef.com//problems/HELPLIRA,1624,35.37
"
Chef and Subarrays
",https://www.codechef.com//problems/CSUBS,1607,40.79
"
Distinct Codes
",https://www.codechef.com//problems/DISTCODE,1606,62.66
"
Cakewalk
",https://www.codechef.com//problems/CKWLK,1604,43.75
"
Correct Sentence
",https://www.codechef.com//problems/CORTSENT,1604,44.42
"
Chef and Numbers
",https://www.codechef.com//problems/CHEFFED,1600,54.04
"
Strange Number
",https://www.codechef.com//problems/STRNO,1599,32.22
"
Racing
",https://www.codechef.com//problems/RACINGEN,1591,29.47
"
Kisses & Hugs
",https://www.codechef.com//problems/CKISSHUG,1579,24.92
"
Chef and Girlfriend
",https://www.codechef.com//problems/GERALD04,1570,37.72
"
Misha and Nice Sets
",https://www.codechef.com//problems/GCDSET,1547,21.87
"
Maximum Value
",https://www.codechef.com//problems/MVALUE,1541,28.9
"
Hello Hello
",https://www.codechef.com//problems/HELLO,1538,35.46
"
Stupid Machine
",https://www.codechef.com//problems/STUPMACH,1535,41.23
"
Chef and Proportion
",https://www.codechef.com//problems/CHEFCBA,1529,56.41
"
Bhallaladeva
",https://www.codechef.com//problems/AMR15D,1528,33.15
"
Maximum AND
",https://www.codechef.com//problems/MAXAND18,1526,24.13
"
Dreams of Divisibility
",https://www.codechef.com//problems/DREDIV,1499,36.4
"
Watson asks Does Permutation Exist
",https://www.codechef.com//problems/PERMEXIS,1498,59.49
"
Minion Chef and Bananas
",https://www.codechef.com//problems/MINEAT,1496,27.88
"
Root the Tree
",https://www.codechef.com//problems/ROOTTREE,1489,51.96
"
Maximize Disjoint Pair Sum
",https://www.codechef.com//problems/SUMPAIR,1478,39.13
"
Chef and Reversing
",https://www.codechef.com//problems/REVERSE,1476,32.12
"
Consecutive Deletions
",https://www.codechef.com//problems/CONDEL,1472,37.84
"
IPC Trainers
",https://www.codechef.com//problems/IPCTRAIN,1471,28.89
"
Pairing Chefs
",https://www.codechef.com//problems/PAIRING,1468,60.8
"
Equality
",https://www.codechef.com//problems/EQUALITY,1461,52.39
"
Arranging the Appetizers
",https://www.codechef.com//problems/ARRANGE,1459,54.36
"
K-Foldable String
",https://www.codechef.com//problems/KFOLD,1451,43.29
"
Path-etic Sums
",https://www.codechef.com//problems/PATHSUMS,1451,55.11
"
Make the Sum Even
",https://www.codechef.com//problems/MKSMEVN,1447,51.9
"
Eat Twice
",https://www.codechef.com//problems/EATTWICE,1437,52.26
"
Simple Operations
",https://www.codechef.com//problems/MINOPS,1437,27.53
"
Polo the Penguin and the Test
",https://www.codechef.com//problems/PPTEST,1432,43.7
"
Chef Goes to the Cinema
",https://www.codechef.com//problems/CO92SUBW,1432,54.13
"
Gold Mining
",https://www.codechef.com//problems/GOLMINE,1419,34.19
"
Convert the String
",https://www.codechef.com//problems/CONVSTR,1416,32.04
"
Missing a Point
",https://www.codechef.com//problems/PTMSSNG,1409,39.33
"
Internet Media Types
",https://www.codechef.com//problems/MIME2,1395,37.38
"
Odd Divisors
",https://www.codechef.com//problems/ODDDIV,1390,38.18
"
The Probability Of Winning
",https://www.codechef.com//problems/PROB,1386,63.79
"
Maximise Islands
",https://www.codechef.com//problems/MINIL,1382,39.89
"
OR of ANDs
",https://www.codechef.com//problems/OROFAND,1375,38.98
"
Chef Likes Good Sequences
",https://www.codechef.com//problems/GSUB,1361,20.27
"
Chef and Socks
",https://www.codechef.com//problems/CHEFSOCK,1360,51.08
"
Penalty Shoot-Out II
",https://www.codechef.com//problems/PSHOT,1359,34.03
"
Chef got Recipes
",https://www.codechef.com//problems/JAIN,1355,29.27
"
Gravel
",https://www.codechef.com//problems/SPREAD,1334,19.81
"
Granama Recipes
",https://www.codechef.com//problems/GRANAMA,1334,33.97
"
XOR Engine
",https://www.codechef.com//problems/ENGXOR,1333,20.77
"
Gasoline
",https://www.codechef.com//problems/GASOLINE,1325,37.78
"
Plagiarism
",https://www.codechef.com//problems/QUIZPLAG,1323,44.96
"
Gift Rift
",https://www.codechef.com//problems/SAD,1316,39.18
"
Lunchtime
",https://www.codechef.com//problems/LUNCHTIM,1311,49.69
"
Dilemma
",https://www.codechef.com//problems/CHEFDIL,1305,49.5
"
Cheating Time
",https://www.codechef.com//problems/CTIME,1301,23.3
"
Permutation and Palindrome
",https://www.codechef.com//problems/PERMPAL,1288,39.62
"
Lucky Number Game
",https://www.codechef.com//problems/HP18,1286,27.49
"
Chef and Wedding Arrangements
",https://www.codechef.com//problems/CHEFWED,1284,32.79
"
What Is This, a Crossover Episode
",https://www.codechef.com//problems/BOJACK,1282,59.69
"
XOR Game
",https://www.codechef.com//problems/XORGM,1281,45.1
"
Minimum Good Permutation
",https://www.codechef.com//problems/MINPERM,1272,63.01
"
Even Matrix
",https://www.codechef.com//problems/EVENM,1271,64.41
"
Subanagrams
",https://www.codechef.com//problems/SUBANAGR,1270,47.11
"
ICPC Balloons
",https://www.codechef.com//problems/BALLOON,1263,63.41
"
The Tricky Deal
",https://www.codechef.com//problems/TRICKYDL,1253,62.83
"
Chef and Equality
",https://www.codechef.com//problems/CHEFEQ,1245,44.24
"
Dummy Palindromic Strings
",https://www.codechef.com//problems/DPS,1245,43.88
"
Unit GCD
",https://www.codechef.com//problems/UNITGCD,1245,28.19
"
Maxim and Dividers
",https://www.codechef.com//problems/MAANDI,1235,45.45
"
Digital clock
",https://www.codechef.com//problems/ONOZ,1233,60.65
"
Chef and Secret Ingredients
",https://www.codechef.com//problems/CHEFING,1225,57.18
"
Little Elephant and Lemonade
",https://www.codechef.com//problems/LELEMON,1219,55.18
"
Chef and Interview
",https://www.codechef.com//problems/CHEFLCM,1219,35.54
"
Bon Appetit
",https://www.codechef.com//problems/FGFS,1213,21.87
"
Missing some chairs
",https://www.codechef.com//problems/MCHAIRS,1206,36.73
"
Square Digit Squares
",https://www.codechef.com//problems/SDSQUARE,1195,27.41
"
Subtree Removal
",https://www.codechef.com//problems/SUBREM,1195,37.12
"
Recover the Sequence
",https://www.codechef.com//problems/RECVSEQ,1193,35.27
"
ATM
",https://www.codechef.com//problems/ATM,1178,28
"
Counting Flags
",https://www.codechef.com//problems/FLAGS,1178,49.35
"
Chef and new recipe
",https://www.codechef.com//problems/CHEFRP,1175,37.71
"
Fair Elections
",https://www.codechef.com//problems/FAIRELCT,1169,29.55
"
Andrew and the Meatballs again
",https://www.codechef.com//problems/AMMEAT2,1165,41.02
"
Chef, Chefina and Their Friendship
",https://www.codechef.com//problems/CHEFSHIP,1164,18.06
"
Approximately II
",https://www.codechef.com//problems/APPROX2,1150,31.81
"
Not All Flavours
",https://www.codechef.com//problems/NOTALLFL,1134,24.82
"
Forest Gathering
",https://www.codechef.com//problems/FORESTGA,1125,13.63
"
Circle of Chaos
",https://www.codechef.com//problems/CIRCHAOS,1123,31.68
"
Chef and Dynamo
",https://www.codechef.com//problems/DYNAMO,1110,29.08
"
Bear and Extra Number
",https://www.codechef.com//problems/EXTRAN,1107,45.85
"
Multiple of 3
",https://www.codechef.com//problems/MULTHREE,1107,25.45
"
Magda and Silly Pairs
",https://www.codechef.com//problems/SILLYPRS,1105,44.66
"
Mixi Game
",https://www.codechef.com//problems/MIXGA,1094,34.57
"
Birthday Gift Again
",https://www.codechef.com//problems/BDGFT,1093,33.49
"
Doof on Cartesian
",https://www.codechef.com//problems/CLPNT,1092,36.95
"
Drink Slush
",https://www.codechef.com//problems/SLUSH,1088,29.81
"
Maximum Score
",https://www.codechef.com//problems/MAXSC,1077,24.54
"
Per Capita Income
",https://www.codechef.com//problems/PERCAPTA,1077,22.58
"
Another Card Game Problem
",https://www.codechef.com//problems/CRDGAME3,1071,58.84
"
Isolation Centers
",https://www.codechef.com//problems/CORUS,1069,45.06
"
Chef of the Year
",https://www.codechef.com//problems/CVOTE,1062,52.64
"
Chefina and Swaps
",https://www.codechef.com//problems/CHFNSWPS,1062,23.86
"
Distinct Pairs
",https://www.codechef.com//problems/DPAIRS,1054,24.98
"
Beautiful Array
",https://www.codechef.com//problems/BTAR,1051,25.16
"
Fierce Battles
",https://www.codechef.com//problems/DRGNBOOL,1048,55.97
"
Right Triangle
",https://www.codechef.com//problems/RIGHTTRI,1048,40.5
"
Fast Food
",https://www.codechef.com//problems/FASTFOOD,1046,39.45
"
Chef and Pepperoni Pizza
",https://www.codechef.com//problems/PEPPERON,1046,35.43
"
Sleep Cycle
",https://www.codechef.com//problems/SLPCYCLE,1034,35.79
"
The Gray-Similar Code
",https://www.codechef.com//problems/GRAYSC,1033,17.73
"
Harrenhal
",https://www.codechef.com//problems/HHAL,1030,53.41
"
Zombie and the Caves
",https://www.codechef.com//problems/ZOMCAV,1029,37.55
"
Rooks
",https://www.codechef.com//problems/RKS,1028,45.72
"
Swapping to Palindrome
",https://www.codechef.com//problems/SWAPPALI,1028,26.84
"
Chef and Football Match
",https://www.codechef.com//problems/WATCHFB,1022,26.49
"
Chef and Memory Limit
",https://www.codechef.com//problems/CBARG,1019,41.78
"
Under the Tunnels
",https://www.codechef.com//problems/POPTUNNL,1007,34.33
"
Positive Mex
",https://www.codechef.com//problems/MEXUM,1006,28.48
"
Planting Trees
",https://www.codechef.com//problems/DEADEND,1000,30.18
"
Total Correct Submissions
",https://www.codechef.com//problems/TOTCRT,1000,67.31
"
Help Martha
",https://www.codechef.com//problems/CENS20G,998,24.78
"
Pogo Stick Competition
",https://www.codechef.com//problems/POGOSTCK,995,24.87
"
Chef Learning Hungarian Algorithm
",https://www.codechef.com//problems/HUNGALGO,988,53.33
"
Two Variables
",https://www.codechef.com//problems/TWOVRIBL,981,36.19
"
Smallest KMP
",https://www.codechef.com//problems/SKMP,980,25.11
"
D-Or
",https://www.codechef.com//problems/DOR,976,37.75
"
Chef and Patients
",https://www.codechef.com//problems/CHEFPAT,969,47.81
"
Galactik Football
",https://www.codechef.com//problems/GALACTIK,956,18.53
"
Reach The Point
",https://www.codechef.com//problems/RETPO,949,33.32
"
Delivery Boy
",https://www.codechef.com//problems/HOMDEL,944,43.94
"
Summary Power
",https://www.codechef.com//problems/SUMPOWER,942,33.74
"
Chang and the Perfect Function
",https://www.codechef.com//problems/CHNGFUNC,930,57.14
"
Magical Girl and Colored Liquid Potions
",https://www.codechef.com//problems/PRPOTION,924,44.76
"
Obtain Desired Standard Deviation
",https://www.codechef.com//problems/STDDEV,923,25.75
"
Chef and Weird Queries
",https://www.codechef.com//problems/CK87QUER,922,46.79
"
Capital Movement
",https://www.codechef.com//problems/CAPIMOVE,920,33.21
"
Swapping
",https://www.codechef.com//problems/SFRV,911,34.99
"
Cleaning Tables
",https://www.codechef.com//problems/CLETAB,907,18.88
"
Binary Concatenation 
",https://www.codechef.com//problems/BINFUN,907,17.75
"
Watching CPL
",https://www.codechef.com//problems/WIPL,894,22.52
"
The hardest gcd problem
",https://www.codechef.com//problems/GCDDIV,892,28.68
"
Money Transformation
",https://www.codechef.com//problems/MONTRANS,889,30.98
"
Guess the number
",https://www.codechef.com//problems/GUESSNUM,887,23.18
"
Xor Equality
",https://www.codechef.com//problems/XOREQUAL,875,32.85
"
Chef and Round Run
",https://www.codechef.com//problems/CHEFRRUN,870,31.08
"
Maximum Size
",https://www.codechef.com//problems/RISK,868,36.82
"
Maximise Subsequence Value
",https://www.codechef.com//problems/MVAL,866,31.44
"
Gravity Guy
",https://www.codechef.com//problems/GRGUY,865,27.21
"
Faded Palindromes
",https://www.codechef.com//problems/LEXOPAL,858,44.98
"
Chef and Queries
",https://www.codechef.com//problems/CHEFQUER,858,30.35
"
Three Integers
",https://www.codechef.com//problems/AFK,854,43.43
"
Funny Marbles
",https://www.codechef.com//problems/MARBLEGF,853,24.3
"
Operations on a Matrix
",https://www.codechef.com//problems/SAKTAN,853,23.35
"
Fun with Rotation
",https://www.codechef.com//problems/ROTATION,845,31.4
"
Positive Prefixes
",https://www.codechef.com//problems/POSPREFS,844,29.9
"
XOR Folding
",https://www.codechef.com//problems/XORFOLD,838,48.76
"
Little Elephant and Subarrays
",https://www.codechef.com//problems/SUBMIN,835,52.36
"
Real obtuse
",https://www.codechef.com//problems/OBTTRNGL,833,29.86
"
Minimum Sum
",https://www.codechef.com//problems/MINARRS,833,38.09
"
Maximize LCM
",https://www.codechef.com//problems/MXMLCM,831,11.18
"
Chef and Secret Password
",https://www.codechef.com//problems/SECPASS,826,31.42
"
Opposite Cites
",https://www.codechef.com//problems/OPPOSITE,825,43.14
"
Little Elephant and Music
",https://www.codechef.com//problems/LEMUSIC,817,23.05
"
Painting
",https://www.codechef.com//problems/PNTNG,815,32.32
"
Magic Rankings
",https://www.codechef.com//problems/MGCRNK,814,30.42
"
Find the Sum
",https://www.codechef.com//problems/PAIRSUM2,811,21.34
"
Doctor Chef
",https://www.codechef.com//problems/DRCHEF,810,35.99
"
OneTwo
",https://www.codechef.com//problems/OETW,808,35.2
"
Easy Subsequence Selection
",https://www.codechef.com//problems/SUBSPLAY,808,36.86
"
Two Groups
",https://www.codechef.com//problems/TWOGRS,806,21.07
"
Squared Subsequences
",https://www.codechef.com//problems/SQRDSUB,804,26.28
"
Chef and Dice
",https://www.codechef.com//problems/SDICE,804,29.14
"
Art
",https://www.codechef.com//problems/MAKEART,803,49.12
"
Garden Squares
",https://www.codechef.com//problems/GARDENSQ,802,49.64
"
Chef and Adventures
",https://www.codechef.com//problems/CHEFADV,801,28.43
"
Superpowers of 2
",https://www.codechef.com//problems/SPOTWO,788,35.05
"
Palindrome
",https://www.codechef.com//problems/TAPALIN,787,33.98
"
Beautiful Garland
",https://www.codechef.com//problems/BEAUTGAR,784,32.98
"
Pied Piper vs Hooli
",https://www.codechef.com//problems/PEWDSVTS,784,26.9
"
Yet Another Crossover Episode
",https://www.codechef.com//problems/DIANE,783,33.78
"
Chef Restores a Matrix
",https://www.codechef.com//problems/CO92MATR,777,35.08
"
Roads in Chefland
",https://www.codechef.com//problems/CROADS,773,34.6
"
Let us play with rank list
",https://www.codechef.com//problems/RANKLIST,768,35.56
"
Subtraction Game 2
",https://www.codechef.com//problems/AMSGAME2,767,33.24
"
Binary String on Steroids
",https://www.codechef.com//problems/BNSONSTR,767,34.89
"
Sed Max
",https://www.codechef.com//problems/SEDMAX,766,34.71
"
Counting Inversions Revisited
",https://www.codechef.com//problems/INVYCNT,764,39.55
"
Kingdom Unity
",https://www.codechef.com//problems/KINGCON,762,24.96
"
Maximum Unique Segment
",https://www.codechef.com//problems/MAXSEGM,762,29.34
"
Golf
",https://www.codechef.com//problems/LKDNGOLF,762,37.71
"
Divisibility by 9
",https://www.codechef.com//problems/DIVNINE,760,25.55
"
Chef and Maximum Star Value
",https://www.codechef.com//problems/MSV,760,19.62
"
Levy Conjecture
",https://www.codechef.com//problems/LEVY,759,30.97
"
Doraemon
",https://www.codechef.com//problems/CHFDORA,753,30.55
"
Double Burgers
",https://www.codechef.com//problems/BURGER,751,24.78
"
Bella ciao
",https://www.codechef.com//problems/CHFHEIST,750,26.79
"
Alien Invasion 
",https://www.codechef.com//problems/ALIENIN,741,27.93
"
Chef and Left-Right
",https://www.codechef.com//problems/CHEFLR,740,31.79
"
Doof fires Brackets
",https://www.codechef.com//problems/CLBRKT,740,31.24
"
Strange Function
",https://www.codechef.com//problems/ABX01,737,23.65
"
Chef and Cube
",https://www.codechef.com//problems/CHCUBE,736,38.12
"
Chef and Integers 
",https://www.codechef.com//problems/INTEG,735,19.52
"
Chef and Walk
",https://www.codechef.com//problems/RECNDNUM,734,25.42
"
Word Couting
",https://www.codechef.com//problems/WCOUNT,733,29.45
"
Courses in an university
",https://www.codechef.com//problems/UNICOURS,730,49.97
"
K-Subarrays
",https://www.codechef.com//problems/CHESUB,730,19.82
"
Chef and Time Machine
",https://www.codechef.com//problems/CHEFTMA,728,30.38
"
Max Range Queries
",https://www.codechef.com//problems/MAXREMOV,726,35.35
"
The White Knight
",https://www.codechef.com//problems/E1,719,23.32
